,index,Unnamed: 0,BlockNameBegin,BlockNameEnd,BlockNS,BlockEW,Time,NeighborhoodWatchSigns,WeCallPolice,TresspassingSign,DogSign,AlarmSystem, ForRent,ForSale,FallenTree,Construction,VacantLots,IllegalDumping,BoardedUp,NoSolicitation,Notes,Date,Surveyor,OfficialBoolean,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Latitude,Longitude,beat_number,ward_number,census_tract,CrimeCount (per beat)
20,20,20,Belden/Cambridge,Dead_End,2300N,500W,14:39,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92373302,-87.64222881,1812,43,71300,656
21,21,21,Belden/Geneva,Belden/Orchard,2300N,600W,14:48,0,0,null,null,null,0,4,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92368431,-87.64384962,1812,43,71300,656
22,22,22,Kemper/Geneva,Kemper/Orchard,2300N,600W,15:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92460099,-87.64386733,1812,43,71300,656
23,23,23,Orchard/Wrightwood,Orchard/Drummond,2600N,600W,15:25,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92911355,-87.6464491,1935,43,70200,842
24,24,24,Cambridge/Diversy,Cambridge/Surf,2800N,500W,15:43,0,0,null,null,null,0,2,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.93283342,-87.64267609,1935,43,70102,842
25,25,25,Wolcott/Ellen,Wolcott/Marion,1300N,1900W,11:10,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90549236,-87.67474669,1424,1,241400,1289
26,26,26,Schiller/Damen,Schiller/WickerPark,1400N,2000W,11:29,0,0,null,null,null,0,0,0,2,0,0,2,null,,7/14/2015,Anthony,TRUE,,,,,,41.90714416,-87.67735946,1424,1,241400,1289
27,27,27,Wood/Milwaukee,Wood/Julian,1400N,1800W,11:35,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90727259,-87.67260776,1424,1,241500,1289
28,28,28,Paulina/Beach,Paulina/Blackhawk,1400N,1700W,11:46,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.907696,-87.669847,1433,2,241500,830
29,29,29,Bosworth/Blackhawk,Bosworth/West_Division,1400N,1500W,11:56,0,0,null,null,null,1,0,0,0,1,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90701131,-87.66634598,1433,2,241600,830
30,30,30,Greenview/LeMoyne,Bosworth/LeMoyne,1500N,1500W,12:10,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90883139,-87.66517688,1433,2,241600,830
31,31,31,Pierce/Hoyne,LeMoyne/Hoyne,1500N,2100W,12:56,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.9093008,-87.67986594,1424,1,241400,1289
32,32,32,Hirsch/Maplewood,Potomac/Maplewood,1400N,2500W,14:56,0,1,null,null,null,0,0,0,1,1,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90663047,-87.69079971,1423,1,241100,738
33,33,33,Potomac/Maplewood,Potomac/Washtenaw,1300N,2600W,15:06,5,1,null,null,null,0,0,0,0,4,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90481039,-87.69076871,1423,26,241100,738
34,34,34,Thomas/Washtenaw,Cortez/Washtenaw,1100N,2700W,15:30,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90113037,-87.69437787,1211,1,242600,740
35,35,35,Campbell/Augusta,Western/Augusta,1000N,2500W,15:45,0,1,null,null,null,0,2,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.89935015,-87.68938704,1212,26,242500,777
36,36,36,Grand/Orleans,Grand/Illinois,500N,300W,9:56,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89153399,-87.63705642,1831,42,81800,1602
37,37,37,LaSalle/Kinzie,LaSalle/Carroll,300N,140W,10:10,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.890212,-87.632372,1831,42,81700,1602
38,38,38,LaSalle/Hubbard,LaSalle/Kinzie,400N,140W,10:20,0,0,null,null,null,0,0,0,2,0,0,0,null,,7/16/2015,Stacy & Forest,FALSE,,,,,,41.89000176,-87.63254829,1831,42,81700,1602
39,39,39,Hubbard/State,Hubbard/Wabash(lower),400N,20E,10:25,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89008706,-87.62835811,1831,42,81600,1602
40,40,40,Wabash/Hubbard,Wabash/Illinois,400N,20E,10:38,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89009032,-87.62664964,1834,42,81500,1891
41,41,41,Ohio/State,Ohio/Dearborn,500N,30W,10:52,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89230987,-87.63988608,1831,42,81800,1602
42,42,42,Huron/State,Huron/Dearborn,700N,30W,11:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89487302,-87.62813759,1834,42,81500,1891
43,43,43,Wabash/Huron,Wabash/Erie,600N,30E,11:05,0,0,null,null,null,0,0,0,2,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89489073,-87.62677806,1834,42,81500,1891
44,44,44,Erie/Rush,Erie/Wabash,600N,50E,11:07,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,FALSE,,,,,,41.89414233,-87.62538754,1834,42,81500,1891
45,45,45,Ontario/St._Clair,Ontario/Fairbanks,600N,200E,11:14,0,0,null,null,null,0,0,0,1,1,0,1,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89336293,-87.6227172,1834,42,81401,1891
46,46,46,McClurg/North_Water,McClurg/Illinois,400N,400E,11:28,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy & Forest,FALSE,,,,,,41.893482,-87.622861,1834,42,81401,1891
47,47,47,River_Drive/McClurg,River_Drive/New,400N,400E,11:30,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.88890351,-87.61775737,1834,42,81403,1891
48,48,48,Streeter/Grand,Streeter/Illinois,500N,500E,11:58,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89195026,-87.61158859,1834,42,81402,1891
49,49,49,Ohio/LakeShore,Ohio/McClurg,600N,600E,12:04,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.8927208,-87.61453791,1834,42,81402,1891
50,50,50,Pearson/MiesVanDerRohe,Pearson/Dewitt,800N,200E,13:46,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.89762306,-87.62181823,1833,2,81300,1360
51,51,51,Walton/Michigan,Walton/Rush,900N,100E ,14:00,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90001441,-87.62415644,1833,2,81202,1360
52,52,52,Bellevue/State,Bellevue/Lake_Shore,1000N,40E,14:09,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90157321,-87.62835901,1824,2,81100,1029
53,53,53,Dearborn/Elm,Dearborn/Oak,1000N,20W,14:23,1,1,null,null,null,1,0,0,1,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90315416,-87.62994881,1824,2,81100,1029
54,54,54,Oak/Dearborn,Oak/Clark,900N,60W,14:31,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.90058125,-87.62987796,1824,2,81100,1029
55,55,55,Oak/LaSalle,Oak/Wells,1000N,100W,14:39,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.90053253,-87.63283614,1832,2,81000,817
56,56,56,Maple/LaSalle,Dead_End,1000N,100W,14:41,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90183006,-87.63286714,1824,2,81000,1029
57,57,57,Wells/Wendell,Dead_End,1000N,100W,15:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90131194,-87.63436837,1824,2,81000,1029
58,58,58,Division/State,Division/Dearborn,1200N,20W,15:19,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.90395127,-87.6287,1824,2,80202,1029
59,59,59,Astor/Division,Astor/Scott,1200N,30E,15:21,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90398227,-87.62686663,1824,43,81202,1029
60,60,60,Astor/LakeShore,Dead_End,1300N,40E,15:26,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.907874,-87.627207,1824,43,80100,1029
61,61,61,Delaware/Clark,Delaware/LaSalle,800N,100W,16:19,0,1,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.89928372,-87.63130834,1832,2,81000,817
62,62,62,Chestunut/LaSalle,Chestnut/Clark,800N,100W,16:25,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.89796405,-87.63275643,1832,2,81000,817
63,63,63,Chestnut/Clark,Chestnut/Dearborn,800N ,60W,16:29,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.89798177,-87.63127734,1832,2,81000,817
64,64,64,Chestnut/Dearborn,Chestnut/State,800N,20W,16:33,3,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.89799062,-87.62978939,1832,2,81100,817
65,65,65,Spaulding/51st,Dead_End,5000S,3000W,10:20,0,0,null,null,null,0,1,0,0,1,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.80078241,-87.70618846,822,14,630300,1135
66,66,66,Homan/51st,Homan/52nd,5100S,3400W,10:39,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.8007337,-87.70864623,822,14,630300,1135
67,67,67,52nd/Homan,52/Christina,5200S,3300W,10:52,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79891362,-87.70859752,822,14,630300,1135
68,68,68,52nd/Christina,52nd/Spaulding,5100S,3300W,10:56,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79894019,-87.70734871,822,14,630300,1135
69,69,69,Spaulding/52nd,Spaulding/53rd,5200S,3200W,11:01,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79898004,-87.70613975,822,14,630300,1135
70,70,70,53rd/Spaulding,53rd/Sawyer,5200S,3200W,11:09,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79713339,-87.70610875,822,14,630300,1135
71,71,71,53rd/Sawyer,53rd/Kedzie,5200S,3200W,11:15,1,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79714225,-87.70487765,822,14,630300,1135
72,72,72,52nd/Kedzie,52nd/Troy,5200S,3100W,11:18,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79900219,-87.70370855,923,14,630400,826
73,73,73,52nd/Troy,52nd/Albany,5200S,3100W,11:20,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79901104,-87.70249959,923,14,630400,826
74,74,74,52nd/Albany,52nd/Whipple,5200S,3000W,11:30,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79903319,-87.70126849,923,14,630400,826
75,75,75,52nd/Whipple,52nd/Sacramento,5200S,3000W,11:36,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7990509,-87.70005953,923,14,630400,826
76,76,76,52nd/Sacramento,52nd/Richmond,5200S,2900W,11:40,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79907304,-87.69882843,923,14,630400,826
77,77,77,52nd/Richmond,52nd/Francisco,5200S,2900W,11:45,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79909076,-87.69760619,923,14,630400,826
78,78,78,52nd/Francisco,52nd/Mozart,5200S,2800W,11:46,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79912175,-87.69638837,923,14,630400,826
79,79,79,Mozart/52nd,Mozart/53rd,5200S,2800W,11:49,2,2,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.7991439,-87.69516613,923,14,630400,826
80,80,80,Mozart/53rd,Mozart/54th_St,5300S,2800W,11:57,3,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79732382,-87.6950997,923,14,630400,826
81,81,81,54th_St/Mozart,54th_St/Francisco,5300S,2800W,12:03,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79549045,-87.69504656,923,14,630400,826
82,82,82,54th_St/Francisco,54th_St/Richmond,5300S,2900W,12:12,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79547274,-87.6962688,923,14,630400,826
83,83,83,54th_St/Richmond,54th_St/Sacramento,5300S,2900W,12:26,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7954506,-87.69748662,923,14,630400,826
84,84,84,Sacramento/54th_St,Sacramento/55th,5400S,3000W,12:31,0,2,null,null,null,0,0,0,1,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
85,85,85,Sacramento/55th,Sacramento/56th,5500S,3000W,12:34,1,0,null,null,null,0,1,0,1,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
86,86,86,56th/Sacramento,56th/Whipple,5500S,3000W,12:42,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79179272,-87.69860701,824,16,630800,1340
87,87,87,56th/Whipple,56th/Albany,5500S,3000W,12:46,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79176172,-87.69984697,824,14,630800,1340
88,88,88,Albany/56th,Albany/57th,5600S,3100W,12:49,0,1,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79174401,-87.70104707,824,14,630800,1340
89,89,89,57th/Albany,57th/Troy,5600S,3100W,12:55,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
90,90,90,57th/Troy,57th/Kedzie,5600S,3100W,13:05,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78991064,-87.70222946,824,14,630800,1340
91,91,91,57th/Kedzie,57th/Sawyer,5600S,3200W,13:55,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78989293,-87.70344727,824,14,630800,1340
92,92,92,Sawyer/57th,Sawyer/56th,5600S,3200W,13:58,1,0,null,null,null,1,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78987079,-87.70464737,822,14,630900,1135
93,93,93,56th/Sawyer,56th/Christina,5500S,3300W,14:07,2,0,null,null,null,0,1,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79168201,-87.70470937,822,14,630900,1135
94,94,94,56th/Christina,56th/Homan,5500S,3300W,14:11,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7916333,-87.70716714,822,14,630900,1135
95,95,95,Homan/56th,Homan/57th,5500S,3300W,14:15,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79162001,-87.70838939,822,14,630900,1135
96,96,96,Homan/57th,Homan/58th,5600S,3400W,14:22,1,0,null,null,null,0,1,0,1,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78980436,-87.70832739,822,23,630900,1135
97,97,97,58th/Homan,58th/Trumbull,5800S,3400W,14:27,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78798428,-87.70827867,822,23,630900,1135
98,98,98,58th/Trumbull,58th/StLouis,5800S,3400W,14:31,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78796214,-87.70950977,822,23,630900,1135
99,99,99,58th/St._Louis,58th/CentralPark,5800S,3500W,14:34,1,1,null,null,null,0,1,1,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78793114,-87.71073645,822,23,630900,1135
100,100,100,58th/Central_Park,58th/Lawndale,5800S,3600W,14:41,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78791343,-87.71282666,822,23,630900,1135
101,101,101,Lawndale/58th,Lawndale/57_Pl,5700S,3600W,14:44,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78788243,-87.71562985,822,23,620400,1135
102,102,102,Lawndale/57th_Pl,Lawndale/57th,5700S,3600W,14:47,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7887814,-87.7156697,822,23,620400,1135
103,103,103,Lawndale/57th,Lawndale/56th_Pl,5600S,3600W,14:49,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78968037,-87.71568742,822,23,620400,1135
104,104,104,Lawndale/56th_Pl,Lawndale/56th,5600S,3600W,14:52,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79059262,-87.71572727,822,23,620400,1135
105,105,105,56th/Lawndale,Dead_End,5600S,3600W,14:54,3,2,null,null,null,0,1,0,3,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79151373,-87.71574942,822,23,620400,1135
106,106,106,58th/Springfield,58th/Pulaski,5800S,3900W,15:20,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78780272,-87.72054982,822,23,620400,1135
107,107,107,58th/Pulaski,58th/Karkov,5800S,4000W,15:24,2,2,null,null,null,0,1,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78773186,-87.72300759,822,13,620400,1135
108,108,108,Karkov/58th,Karkov/57th_Pl,5700S,4100W,15:29,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
109,109,109,Karkov/57th_Pl,Karkov/57th,5700S,4100W,15:31,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
110,110,110,57th_St/Karkov,57th_St/Keeler,5700S,4100W,15:33,1,1,null,null,null,0,2,0,1,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
111,111,111,Keeler/57th,Keeler/58th,5700S,4200W,15:39,2,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78952094,-87.72792757,813,13,620300,1292
112,112,112,58th/Keeler,58th/Tripp,5800S,4200W,15:43,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78769201,-87.72787885,813,13,620300,1292
113,113,113,Tripp/58th,Tripp/59th,5800S,4200W,15:45,3,1,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78768315,-87.72911881,813,13,620300,1292
114,114,114,Tripp/59th,Tripp/60th,5900S,4200W,15:50,0,0,null,null,null,0,1,0,1,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78586307,-87.72905681,813,13,650200,1292
115,115,115,60th/Tripp,60th/Keeler,6000S,4200W,3:58 PM,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78405185,-87.7290081,813,13,650200,1292
116,116,116,Keeler/60th,Keeler/61st,6000S,4200W,16:00,0,0,null,null,null,0,0,1,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.7840607,-87.727777,813,23,650200,1292
117,117,117,Keeler/63rd,Keeler/64th,6300S,4200W,16:12,2,1,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.77862261,-87.72762643,813,23,650200,1292
118,118,118,Kimball/64th_Pl,Kimball/65th,6400S,4500W,16:27,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.91005363,-87.71187898,1422,26,230900,947
119,119,119,65th_St/Kimball,Dead_End,6500S,4500W,16:29,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
120,120,120,Kimball/65th,Kimball/65th_Pl,6500S,4500W,16:34,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
121,121,121,Kimball/65th_Pl,Kimball/66th,6500S,4500W,16:36,0,0,null,null,null,0,0,1,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777,122,42,839100,1395
