,BlockNameBegin,BlockNameEnd,BlockNS,BlockEW,Time,NeighborhoodWatchSigns,WeCallPolice,TresspassingSign,DogSign,AlarmSystem, ForRent,ForSale,FallenTree,Construction,VacantLots,IllegalDumping,BoardedUp,NoSolicitation,Notes,Date,Surveyor,OfficialBoolean,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Latitude,Longitude
18,Menomonee/Orleans,Menomonee/Sedgwick,1800N,300W,14:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.91475219,-87.63748598
19,Commonwealth/Belden,Commonwealth/Fullerton,2300N,300W,14:24,0,0,null,null,null,2,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92375073,-87.6380971
20,Belden/Cambridge,Dead_End,2300N,500W,14:39,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92373302,-87.64222881
21,Belden/Geneva,Belden/Orchard,2300N,600W,14:48,0,0,null,null,null,0,4,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92368431,-87.64384962
22,Kemper/Geneva,Kemper/Orchard,2300N,600W,15:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92460099,-87.64386733
23,Orchard/Wrightwood,Orchard/Drummond,2600N,600W,15:25,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92911355,-87.6464491
24,Cambridge/Diversy,Cambridge/Surf,2800N,500W,15:43,0,0,null,null,null,0,2,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.93283342,-87.64267609
25,Wolcott/Ellen,Wolcott/Marion,1300N,1900W,11:10,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90549236,-87.67474669
26,Schiller/Damen,Schiller/WickerPark,1400N,2000W,11:29,0,0,null,null,null,0,0,0,2,0,0,2,null,,7/14/2015,Anthony,TRUE,,,,,,41.90714416,-87.67735946
27,Wood/Milwaukee,Wood/Julian,1400N,1800W,11:35,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90727259,-87.67260776
28,Paulina/Beach,Paulina/Blackhawk,1400N,1700W,11:46,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.907696,-87.669847
29,Bosworth/Blackhawk,Bosworth/West_Division,1400N,1500W,11:56,0,0,null,null,null,1,0,0,0,1,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90701131,-87.66634598
30,Greenview/LeMoyne,Bosworth/LeMoyne,1500N,1500W,12:10,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90883139,-87.66517688
31,Pierce/Hoyne,LeMoyne/Hoyne,1500N,2100W,12:56,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.9093008,-87.67986594
32,Hirsch/Maplewood,Potomac/Maplewood,1400N,2500W,14:56,0,1,null,null,null,0,0,0,1,1,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90663047,-87.69079971
33,Potomac/Maplewood,Potomac/Washtenaw,1300N,2600W,15:06,5,1,null,null,null,0,0,0,0,4,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90481039,-87.69076871
34,Thomas/Washtenaw,Cortez/Washtenaw,1100N,2700W,15:30,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.90113037,-87.69437787
35,Campbell/Augusta,Western/Augusta,1000N,2500W,15:45,0,1,null,null,null,0,2,0,0,0,0,0,null,,7/14/2015,Anthony,TRUE,,,,,,41.89935015,-87.68938704
36,Grand/Orleans,Grand/Illinois,500N,300W,9:56,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89153399,-87.63705642
37,LaSalle/Kinzie,LaSalle/Carroll,300N,140W,10:10,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.890212,-87.632372
38,LaSalle/Hubbard,LaSalle/Kinzie,400N,140W,10:20,0,0,null,null,null,0,0,0,2,0,0,0,null,,7/16/2015,Stacy & Forest,FALSE,,,,,,41.89000176,-87.63254829
39,Hubbard/State,Hubbard/Wabash(lower),400N,20E,10:25,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89008706,-87.62835811
40,Wabash/Hubbard,Wabash/Illinois,400N,20E,10:38,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89009032,-87.62664964
41,Ohio/State,Ohio/Dearborn,500N,30W,10:52,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89230987,-87.63988608
42,Huron/State,Huron/Dearborn,700N,30W,11:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89487302,-87.62813759
43,Wabash/Huron,Wabash/Erie,600N,30E,11:05,0,0,null,null,null,0,0,0,2,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89489073,-87.62677806
44,Erie/Rush,Erie/Wabash,600N,50E,11:07,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,FALSE,,,,,,41.89414233,-87.62538754
45,Ontario/St._Clair,Ontario/Fairbanks,600N,200E,11:14,0,0,null,null,null,0,0,0,1,1,0,1,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89336293,-87.6227172
46,McClurg/North_Water,McClurg/Illinois,400N,400E,11:28,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy & Forest,FALSE,,,,,,41.893482,-87.622861
47,River_Drive/McClurg,River_Drive/New,400N,400E,11:30,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.88890351,-87.61775737
48,Streeter/Grand,Streeter/Illinois,500N,500E,11:58,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.89195026,-87.61158859
49,Ohio/LakeShore,Ohio/McClurg,600N,600E,12:04,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy & Forest,TRUE,,,,,,41.8927208,-87.61453791
50,Pearson/MiesVanDerRohe,Pearson/Dewitt,800N,200E,13:46,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.89762306,-87.62181823
51,Walton/Michigan,Walton/Rush,900N,100E ,14:00,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90001441,-87.62415644
52,Bellevue/State,Bellevue/Lake_Shore,1000N,40E,14:09,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90157321,-87.62835901
53,Dearborn/Elm,Dearborn/Oak,1000N,20W,14:23,1,1,null,null,null,1,0,0,1,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90315416,-87.62994881
54,Oak/Dearborn,Oak/Clark,900N,60W,14:31,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.90058125,-87.62987796
55,Oak/LaSalle,Oak/Wells,1000N,100W,14:39,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.90053253,-87.63283614
56,Maple/LaSalle,Dead_End,1000N,100W,14:41,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90183006,-87.63286714
57,Wells/Wendell,Dead_End,1000N,100W,15:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90131194,-87.63436837
58,Division/State,Division/Dearborn,1200N,20W,15:19,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.90395127,-87.6287
59,Astor/Division,Astor/Scott,1200N,30E,15:21,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.90398227,-87.62686663
60,Astor/LakeShore,Dead_End,1300N,40E,15:26,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.907874,-87.627207
61,Delaware/Clark,Delaware/LaSalle,800N,100W,16:19,0,1,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.89928372,-87.63130834
62,Chestunut/LaSalle,Chestnut/Clark,800N,100W,16:25,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.89796405,-87.63275643
63,Chestnut/Clark,Chestnut/Dearborn,800N ,60W,16:29,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/16/2015,Stacy ,TRUE,,,,,,41.89798177,-87.63127734
64,Chestnut/Dearborn,Chestnut/State,800N,20W,16:33,3,0,null,null,null,0,0,0,0,0,0,0,null,,7/16/2015,Stacy ,FALSE,,,,,,41.89799062,-87.62978939
65,Spaulding/51st,Dead_End,5000S,3000W,10:20,0,0,null,null,null,0,1,0,0,1,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.80078241,-87.70618846
66,Homan/51st,Homan/52nd,5100S,3400W,10:39,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.8007337,-87.70864623
67,52nd/Homan,52/Christina,5200S,3300W,10:52,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79891362,-87.70859752
68,52nd/Christina,52nd/Spaulding,5100S,3300W,10:56,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79894019,-87.70734871
69,Spaulding/52nd,Spaulding/53rd,5200S,3200W,11:01,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79898004,-87.70613975
70,53rd/Spaulding,53rd/Sawyer,5200S,3200W,11:09,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79713339,-87.70610875
71,53rd/Sawyer,53rd/Kedzie,5200S,3200W,11:15,1,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79714225,-87.70487765
72,52nd/Kedzie,52nd/Troy,5200S,3100W,11:18,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79900219,-87.70370855
73,52nd/Troy,52nd/Albany,5200S,3100W,11:20,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79901104,-87.70249959
74,52nd/Albany,52nd/Whipple,5200S,3000W,11:30,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79903319,-87.70126849
75,52nd/Whipple,52nd/Sacramento,5200S,3000W,11:36,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7990509,-87.70005953
76,52nd/Sacramento,52nd/Richmond,5200S,2900W,11:40,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79907304,-87.69882843
77,52nd/Richmond,52nd/Francisco,5200S,2900W,11:45,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79909076,-87.69760619
78,52nd/Francisco,52nd/Mozart,5200S,2800W,11:46,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79912175,-87.69638837
79,Mozart/52nd,Mozart/53rd,5200S,2800W,11:49,2,2,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.7991439,-87.69516613
80,Mozart/53rd,Mozart/54th_St,5300S,2800W,11:57,3,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79732382,-87.6950997
81,54th_St/Mozart,54th_St/Francisco,5300S,2800W,12:03,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79549045,-87.69504656
82,54th_St/Francisco,54th_St/Richmond,5300S,2900W,12:12,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79547274,-87.6962688
83,54th_St/Richmond,54th_St/Sacramento,5300S,2900W,12:26,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7954506,-87.69748662
84,Sacramento/54th_St,Sacramento/55th,5400S,3000W,12:31,0,2,null,null,null,0,0,0,1,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777
85,Sacramento/55th,Sacramento/56th,5500S,3000W,12:34,1,0,null,null,null,0,1,0,1,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777
86,56th/Sacramento,56th/Whipple,5500S,3000W,12:42,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79179272,-87.69860701
87,56th/Whipple,56th/Albany,5500S,3000W,12:46,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79176172,-87.69984697
88,Albany/56th,Albany/57th,5600S,3100W,12:49,0,1,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79174401,-87.70104707
89,57th/Albany,57th/Troy,5600S,3100W,12:55,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777
90,57th/Troy,57th/Kedzie,5600S,3100W,13:05,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78991064,-87.70222946
91,57th/Kedzie,57th/Sawyer,5600S,3200W,13:55,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78989293,-87.70344727
92,Sawyer/57th,Sawyer/56th,5600S,3200W,13:58,1,0,null,null,null,1,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78987079,-87.70464737
93,56th/Sawyer,56th/Christina,5500S,3300W,14:07,2,0,null,null,null,0,1,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79168201,-87.70470937
94,56th/Christina,56th/Homan,5500S,3300W,14:11,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7916333,-87.70716714
95,Homan/56th,Homan/57th,5500S,3300W,14:15,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79162001,-87.70838939
96,Homan/57th,Homan/58th,5600S,3400W,14:22,1,0,null,null,null,0,1,0,1,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78980436,-87.70832739
97,58th/Homan,58th/Trumbull,5800S,3400W,14:27,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78798428,-87.70827867
98,58th/Trumbull,58th/StLouis,5800S,3400W,14:31,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78796214,-87.70950977
99,58th/St._Louis,58th/CentralPark,5800S,3500W,14:34,1,1,null,null,null,0,1,1,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78793114,-87.71073645
100,58th/Central_Park,58th/Lawndale,5800S,3600W,14:41,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78791343,-87.71282666
101,Lawndale/58th,Lawndale/57_Pl,5700S,3600W,14:44,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78788243,-87.71562985
102,Lawndale/57th_Pl,Lawndale/57th,5700S,3600W,14:47,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.7887814,-87.7156697
103,Lawndale/57th,Lawndale/56th_Pl,5600S,3600W,14:49,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78968037,-87.71568742
104,Lawndale/56th_Pl,Lawndale/56th,5600S,3600W,14:52,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.79059262,-87.71572727
105,56th/Lawndale,Dead_End,5600S,3600W,14:54,3,2,null,null,null,0,1,0,3,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.79151373,-87.71574942
106,58th/Springfield,58th/Pulaski,5800S,3900W,15:20,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78780272,-87.72054982
107,58th/Pulaski,58th/Karkov,5800S,4000W,15:24,2,2,null,null,null,0,1,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78773186,-87.72300759
108,Karkov/58th,Karkov/57th_Pl,5700S,4100W,15:29,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777
109,Karkov/57th_Pl,Karkov/57th,5700S,4100W,15:31,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777
110,57th_St/Karkov,57th_St/Keeler,5700S,4100W,15:33,1,1,null,null,null,0,2,0,1,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777
111,Keeler/57th,Keeler/58th,5700S,4200W,15:39,2,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78952094,-87.72792757
112,58th/Keeler,58th/Tripp,5800S,4200W,15:43,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.78769201,-87.72787885
113,Tripp/58th,Tripp/59th,5800S,4200W,15:45,3,1,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78768315,-87.72911881
114,Tripp/59th,Tripp/60th,5900S,4200W,15:50,0,0,null,null,null,0,1,0,1,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78586307,-87.72905681
115,60th/Tripp,60th/Keeler,6000S,4200W,3:58 PM,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.78405185,-87.7290081
116,Keeler/60th,Keeler/61st,6000S,4200W,16:00,0,0,null,null,null,0,0,1,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,t,41.7840607,-87.727777
117,Keeler/63rd,Keeler/64th,6300S,4200W,16:12,2,1,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.77862261,-87.72762643
118,Kimball/64th_Pl,Kimball/65th,6400S,4500W,16:27,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.91005363,-87.71187898
119,65th_St/Kimball,Dead_End,6500S,4500W,16:29,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777
120,Kimball/65th,Kimball/65th_Pl,6500S,4500W,16:34,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,FALSE,,,,,,41.88425252,-87.63244777
121,Kimball/65th_Pl,Kimball/66th,6500S,4500W,16:36,0,0,null,null,null,0,0,1,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.88425252,-87.63244777
122,68th/Kenneth,68th/Kostner,6800S,4400W,16:45,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.76942035,-87.73349852
123,Kolin/68th,Kolin/69th,6800S,4300W,16:48,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/15/2015,Danica & Alison,TRUE,,,,,,41.76944249,-87.7310496
124,Taylor/Miller,Miller/Cabrini,900S,1000W,10:30,0,0,null,null,null,2,2,0,2,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.86949375,-87.65220604
125,Polk/Miller,Dead_End,700S,1000W,10:45,0,0,null,null,null,1,1,1,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.87186295,-87.65228575
126,Polk/May,Dead_End,800S,1100W,10:59,0,0,null,null,null,2,2,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.87181424,-87.65534579
127,Polk/Racine,Racine_Ave,800S,1200W,11:03,0,0,null,null,null,1,1,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.87177439,-87.65679831
128,Taylor/Racine,Taylor/Lytle,1000S,1200W,11:09,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.86941404,-87.65673631
129,Taylor/May,Dead_End,1000S,1100W,11:22,0,0,null,null,null,0,0,0,1,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.86945389,-87.65523951
130,Taylor/Lytle,Lytle/Greenshaw,1100S,1200W,11:32,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.86940075,-87.65828626
131,Throop/Fillmore,Fillmore/Loomis,1000S,1300W,11:43,0,0,null,null,null,1,1,1,0,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.8685815,-87.65915866
132,Roosevelt/Loomis,Loomis/Washburne,1200S,1400W,11:50,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.867179,-87.660796
133,Washburne/Loomis,Washburne/Throop,1200S,1300W,11:59,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.86608387,-87.66150572
134,Ada/Cabrini,Ada/Arthington,900S,800W,14:00,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.87125183,-87.66012848
135,Laflin/Taylor,Laflin_St.,960S,1400W,14:17,3,3,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.86932104,-87.66408749
136,Laflin/Polk,Laflin/Lexington,750S,1400W,14:24,4,4,null,null,null,0,0,0,1,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.87166368,-87.6641672
137,Laflin/Flournoy,Flournoy/Loomis,620S,1450W,14:30,4,4,null,null,null,0,0,0,2,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.87289035,-87.66418934
138,Lexington/Loomis,Loomis_Ave,730S,1400W,14:37,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.87253165,-87.66175814
139,Polk/Loomis,Dead_End,800S,1300W,14:40,2,2,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.87171,-87.662024
