,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
3,Z007644,2/16/72,11,57,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
6785,Z007645,3/9/72,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
11303,Z007645,3/9/72,94,1300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
3298,Z007645,3/9/72,400,8.7,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
4,Z007645,3/9/72,11,57,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
1010,Z007645,3/9/72,70,5,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
10898,Z007645,3/9/72,941,700,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1236,Z007645,3/9/72,300,13,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10899,Z007646,4/11/72,941,600,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1011,Z007646,4/11/72,70,5,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
6786,Z007646,4/11/72,10,20,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
1237,Z007646,4/11/72,300,10.2,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5,Z007646,4/11/72,11,68,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
11304,Z007646,4/11/72,94,1475,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
3299,Z007646,4/11/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
13314,Z007646,4/11/72,31505,490,"COLIFORM,TOT,MPN,CONFIRMED TEST,35C, #/100ML",#/100ML,Water,N/A Calculation,Water,33.90492,-96.665033
13323,Z007646,4/11/72,31619,0,"FECAL COLIFORM,MPN,BORIC ACID LACTOSE BR,#/100ML",#/100ML,Water,N/A Calculation,Water,33.90492,-96.665033
8857,Z007647,5/16/72,530,94,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10102,Z007647,5/16/72,620,0.03,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6787,Z007647,5/16/72,10,26.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
1238,Z007647,5/16/72,300,10,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10362,Z007647,5/16/72,650,0.36,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
9275,Z007647,5/16/72,535,9,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10900,Z007647,5/16/72,941,430,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10482,Z007647,5/16/72,665,0.118,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6355,Z007647,5/16/72,945,220,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5916,Z007647,5/16/72,940,510,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6,Z007647,5/16/72,11,80,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
9686,Z007647,5/16/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5382,Z007647,5/16/72,403,8.3,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10968,Z007647,5/16/72,32211,57,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3283,Z007647,5/16/72,310,2.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11305,Z007647,5/16/72,94,2420,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
1094,Z007647,5/16/72,95,2420,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
1012,Z007647,5/16/72,70,30,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
3300,Z007647,5/16/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
1239,Z007648,6/20/72,300,11,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6788,Z007648,6/20/72,10,30,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7,Z007648,6/20/72,11,86,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
3301,Z007648,6/20/72,400,8.6,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10901,Z007648,6/20/72,941,300,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11306,Z007648,6/20/72,94,2000,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
1013,Z007648,6/20/72,70,65,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
6356,Z007649,7/18/72,945,253,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
13324,Z007649,7/18/72,31619,30,"FECAL COLIFORM,MPN,BORIC ACID LACTOSE BR,#/100ML",#/100ML,Water,N/A Calculation,Water,33.90492,-96.665033
9687,Z007649,7/18/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3284,Z007649,7/18/72,310,1.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10483,Z007649,7/18/72,665,0.114,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
8,Z007649,7/18/72,11,86,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
1095,Z007649,7/18/72,95,2464,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
3302,Z007649,7/18/72,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5917,Z007649,7/18/72,940,498,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1240,Z007649,7/18/72,300,7,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6789,Z007649,7/18/72,10,30,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
10103,Z007649,7/18/72,620,0.03,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
13315,Z007649,7/18/72,31505,500,"COLIFORM,TOT,MPN,CONFIRMED TEST,35C, #/100ML",#/100ML,Water,N/A Calculation,Water,33.90492,-96.665033
11307,Z007649,7/18/72,94,2500,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
8858,Z007649,7/18/72,530,166,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10902,Z007649,7/18/72,941,1100,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5383,Z007649,7/18/72,403,7.8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10969,Z007649,7/18/72,32211,32,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,33.90492,-96.665033
9276,Z007649,7/18/72,535,14,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10363,Z007649,7/18/72,650,0.35,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1014,Z007649,7/18/72,70,60,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
1015,Z007650,8/15/72,70,40,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
9,Z007650,8/15/72,11,87,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
11308,Z007650,8/15/72,94,2450,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
1241,Z007650,8/15/72,300,13,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10903,Z007650,8/15/72,941,1500,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6790,Z007650,8/15/72,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
3303,Z007650,8/15/72,400,8.7,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
1242,Z007651,9/13/72,300,11,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10,Z007651,9/13/72,11,88,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
11309,Z007651,9/13/72,94,1900,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
6791,Z007651,9/13/72,10,31.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
1016,Z007651,9/13/72,70,20,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
3304,Z007651,9/13/72,400,8.6,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10904,Z007651,9/13/72,941,800,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10484,Z007652,10/17/72,665,0.023,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3305,Z007652,10/17/72,400,8.6,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
11,Z007652,10/17/72,11,77,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
6357,Z007652,10/17/72,945,258,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1096,Z007652,10/17/72,95,2640,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
9688,Z007652,10/17/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6792,Z007652,10/17/72,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13325,Z007652,10/17/72,31619,2,"FECAL COLIFORM,MPN,BORIC ACID LACTOSE BR,#/100ML",#/100ML,Water,N/A Calculation,Water,33.90492,-96.665033
8859,Z007652,10/17/72,530,16,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1017,Z007652,10/17/72,70,15,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
5918,Z007652,10/17/72,940,530,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3285,Z007652,10/17/72,310,2,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
13316,Z007652,10/17/72,31505,2800,"COLIFORM,TOT,MPN,CONFIRMED TEST,35C, #/100ML",#/100ML,Water,N/A Calculation,Water,33.90492,-96.665033
10905,Z007652,10/17/72,941,590,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1243,Z007652,10/17/72,300,10,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
9277,Z007652,10/17/72,535,7,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11310,Z007652,10/17/72,94,2600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
5384,Z007652,10/17/72,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10970,Z007652,10/17/72,32211,34,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10364,Z007652,10/17/72,650,0.07,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10104,Z007652,10/17/72,620,0.04,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3306,Z007653,11/16/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10906,Z007653,11/16/72,941,300,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1244,Z007653,11/16/72,300,8.8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11311,Z007653,11/16/72,94,1100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
1018,Z007653,11/16/72,70,85,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
6793,Z007653,11/16/72,10,11.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
12,Z007653,11/16/72,11,52,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
5538,Z007653,11/16/72,410,130,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11315,Z007655,12/13/72,94,1320,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
10907,Z006629,12/13/72,941,450,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11314,Z007654,12/13/72,94,1550,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
10909,Z007654,12/13/72,941,450,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10910,Z007655,12/13/72,941,500,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1245,Z006629,12/13/72,300,8.5,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1246,Z006630,12/13/72,300,8.8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1247,Z007654,12/13/72,300,8.6,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1248,Z007655,12/13/72,300,11,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1020,Z007654,12/13/72,70,5,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
3308,Z006630,12/13/72,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3309,Z007654,12/13/72,400,8.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3310,Z007655,12/13/72,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
1019,Z006629,12/13/72,70,1,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
16,Z007655,12/13/72,11,41,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
15,Z007654,12/13/72,11,41,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
10908,Z006630,12/13/72,941,500,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6795,Z006630,12/13/72,10,7.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
3307,Z006629,12/13/72,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
13,Z006629,12/13/72,11,46,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
11312,Z006629,12/13/72,94,2000,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11313,Z006630,12/13/72,94,1120,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
6797,Z007655,12/13/72,10,5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
6796,Z007654,12/13/72,10,5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14,Z006630,12/13/72,11,45,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
6794,Z006629,12/13/72,10,7.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
11316,Z006631,1/29/73,94,1980,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
3311,Z006631,1/29/73,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
11317,Z007656,1/29/73,94,2320,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11318,Z007657,1/29/73,94,2200,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
3312,Z007656,1/29/73,400,7.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
1021,Z006631,1/29/73,70,1,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
1022,Z007656,1/29/73,70,10,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
3286,Z006631,1/29/73,310,1.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1250,Z007656,1/29/73,300,14,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
