,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
11755,Z076359,4/25/72,941,20,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11754,Z076358,4/25/72,941,15,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11753,Z075792,4/25/72,941,10,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11752,Z075791,4/25/72,941,10,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1465,Z076359,4/25/72,300,7.1,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12366,Z075792,4/25/72,10,21.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
12368,Z076359,4/25/72,10,21.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
11321,Z076358,4/25/72,940,11,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11320,Z075791,4/25/72,940,6,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6231,Z075791,4/25/72,403,8.2,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
6232,Z076358,4/25/72,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
6714,Z075791,4/25/72,530,10,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6715,Z076358,4/25/72,530,33,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12367,Z076358,4/25/72,10,21.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
7145,Z076358,4/25/72,535,13,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12053,Z076358,4/25/72,32211,31,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
3,Z076358,4/25/72,11,70,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
4,Z076359,4/25/72,11,70,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
8726,Z075791,4/25/72,665,0.026,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8727,Z076358,4/25/72,665,0.072,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8555,Z075791,4/25/72,650,0.08,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7418,Z076358,4/25/72,610,0.3,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7417,Z075791,4/25/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8556,Z076358,4/25/72,650,0.22,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8,Z076361,8/8/72,11,82,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
1218,Z076360,8/8/72,70,1,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,32.852239,-96.52585
6716,Z075793,8/8/72,530,17,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6717,Z076360,8/8/72,530,10,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8728,Z075793,8/8/72,665,0.026,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1217,Z075793,8/8/72,70,1,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,32.852239,-96.52585
1469,Z076361,8/8/72,300,4,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6234,Z076360,8/8/72,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
1282,Z075793,8/8/72,95,282,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
7,Z076360,8/8/72,11,83,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
6,Z075794,8/8/72,11,82,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
6233,Z075793,8/8/72,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
7992,Z076360,8/8/72,620,0.03,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
5,Z075793,8/8/72,11,82,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
7146,Z075793,8/8/72,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11774,Z075793,8/8/72,945,20,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11775,Z076360,8/8/72,945,22,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
3685,Z076360,8/8/72,310,2.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
3684,Z075793,8/8/72,310,2.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12054,Z075793,8/8/72,32211,8,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7419,Z075793,8/8/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7420,Z076360,8/8/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1466,Z075793,8/8/72,300,7,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1467,Z075794,8/8/72,300,6,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1468,Z076360,8/8/72,300,9,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1283,Z076360,8/8/72,95,278,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
7991,Z075793,8/8/72,620,0.03,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8729,Z076360,8/8/72,665,0.033,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11323,Z076360,8/8/72,940,32,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11322,Z075793,8/8/72,940,6,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11756,Z075793,8/8/72,941,15,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8557,Z075793,8/8/72,650,0.08,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12369,Z075793,8/8/72,10,27.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
12370,Z075794,8/8/72,10,27.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
12371,Z076360,8/8/72,10,28.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
12372,Z076361,8/8/72,10,27.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
11757,Z075794,8/8/72,941,15,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11758,Z076360,8/8/72,941,10,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8558,Z076360,8/8/72,650,0.1,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
9106,Z076360,8/8/72,94,280,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9107,Z076361,8/8/72,94,280,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9105,Z075794,8/8/72,94,260,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9104,Z075793,8/8/72,94,280,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
12055,Z076360,8/8/72,32211,11,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11759,Z076361,8/8/72,941,13,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
4053,Z076361,8/8/72,400,8.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4052,Z076360,8/8/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4051,Z075794,8/8/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4050,Z075793,8/8/72,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
11760,Z075795,11/8/72,941,10,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1473,Z076363,11/8/72,300,6,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11761,Z075796,11/8/72,941,12,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8560,Z076362,11/8/72,650,0.24,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8559,Z075795,11/8/72,650,0.14,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1472,Z076362,11/8/72,300,7.8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7994,Z076362,11/8/72,620,0.37,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7421,Z075795,11/8/72,610,0.2,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7993,Z075795,11/8/72,620,0.09,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11,Z076362,11/8/72,11,59,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
6235,Z075795,11/8/72,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
11324,Z075795,11/8/72,940,7,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6236,Z076362,11/8/72,403,7.9,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
10,Z075796,11/8/72,11,59,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
9,Z075795,11/8/72,11,61,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
12376,Z076363,11/8/72,10,15,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
12375,Z076362,11/8/72,10,15,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
7422,Z076362,11/8/72,610,0.2,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12374,Z075796,11/8/72,10,15,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
12373,Z075795,11/8/72,10,16.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
6718,Z075795,11/8/72,530,10,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6719,Z076362,11/8/72,530,23,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
14580,Z075795,11/8/72,21,65,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,32.852239,-96.52585
14581,Z076362,11/8/72,21,58,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,32.852239,-96.52585
11325,Z076362,11/8/72,940,8,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1471,Z075796,11/8/72,300,6.5,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1470,Z075795,11/8/72,300,8.1,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11763,Z076363,11/8/72,941,10,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8731,Z076362,11/8/72,665,0.078,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11762,Z076362,11/8/72,941,15,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12,Z076363,11/8/72,11,59,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
8730,Z075795,11/8/72,665,0.046,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1219,Z075795,11/8/72,70,1,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,32.852239,-96.52585
4055,Z075796,11/8/72,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4056,Z076362,11/8/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4057,Z076363,11/8/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
1220,Z076362,11/8/72,70,30,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,32.852239,-96.52585
12057,Z076362,11/8/72,32211,30,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1284,Z075795,11/8/72,95,292,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
1285,Z076362,11/8/72,95,284,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
11777,Z076362,11/8/72,945,23,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11776,Z075795,11/8/72,945,19,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12056,Z075795,11/8/72,32211,9,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
4054,Z075795,11/8/72,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
3686,Z075795,11/8/72,310,3,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7147,Z076362,11/8/72,535,6,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
9108,Z075795,11/8/72,94,290,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
3687,Z076362,11/8/72,310,3.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
9111,Z076363,11/8/72,94,290,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9109,Z075796,11/8/72,94,280,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9110,Z076362,11/8/72,94,290,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
12378,Z076364,2/13/73,10,7.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
7148,Z075797,2/13/73,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12377,Z075798,2/13/73,10,8.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
7149,Z076364,2/13/73,535,8,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8561,Z075797,2/13/73,650,0.08,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
4058,Z075797,2/13/73,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
11764,Z075797,2/13/73,941,25,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
4060,Z076364,2/13/73,400,8.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4061,Z076365,2/13/73,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
12059,Z076364,2/13/73,32211,12,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12058,Z075797,2/13/73,32211,6,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
9112,Z075797,2/13/73,94,300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9113,Z075798,2/13/73,94,300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
12379,Z076365,2/13/73,10,9.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,32.852239,-96.52585
9115,Z076365,2/13/73,94,390,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
14582,Z076364,2/13/73,21,58,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,32.852239,-96.52585
