Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
Z009168,9/24/68,95,95,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009168,9/24/68,535,750,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,945,127,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009168,9/24/68,300,4056,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,11,6.8,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,400,2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,400,66.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,400,106,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,11,22,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,941,23,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,941,45,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,94,142,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,10,6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,10,66.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,941,7.5,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,10,300,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,11,648,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,300,19,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,31505,19,"COLIFORM,TOT,MPN,CONFIRMED TEST,35C, #/100ML",#/100ML,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,11,6,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009207,10/9/68,300,3.5,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,300,7.5,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,70,5,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009169,10/9/68,94,2.5,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,10,8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,403,500,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,665,4,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,650,8,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,620,6.9,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,530,182,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,94,590,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,610,4.5,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,400,45,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,400,19,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,535,6,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,941,3192,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,11,8.5,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,70,17,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,70,8.3,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,94,62.6,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,95,355,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,310,60.8,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009170,11/6/68,300,16,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009208,11/6/68,300,16,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,665,9,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,32211,500,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,32211,16,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,10,200,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,10,15,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,310,25,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,403,20,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,945,53.6,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,945,6.9,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,940,12,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,620,500,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,610,17,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,535,46.4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,11,9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,300,7,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,31505,18,"COLIFORM,TOT,MPN,CONFIRMED TEST,35C, #/100ML",#/100ML,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,650,165,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,940,4.5,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009209,12/4/68,530,8,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009171,12/4/68,95,4.5,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,940,29,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,945,70,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,310,3,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,310,4,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,945,11,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,940,171,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,11,46.4,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,11,44.6,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,403,7.6,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,300,11,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,10,8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,95,250,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,95,990,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,20,14,"TEMPERATURE, AIR (DEGREES CENTIGRADE)",DEG C,Air,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,70,145,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009210,1/14/69,20,15,"TEMPERATURE, AIR (DEGREES CENTIGRADE)",DEG C,Air,N/A Calculation,Water,33.888817,-98.005991
Z009172,1/14/69,403,8.5,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,403,7,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,20,16,"TEMPERATURE, AIR (DEGREES CENTIGRADE)",DEG C,Air,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,945,11,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,70,65,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,11,55.4,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,11,53.6,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,95,1539,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,20,17,"TEMPERATURE, AIR (DEGREES CENTIGRADE)",DEG C,Air,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,945,113,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,95,210,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,310,5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,310,3.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009173,2/11/69,940,280,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009211,2/11/69,940,74,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,10,15,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,940,13,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,21,75,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,940,22,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,300,7,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,310,1,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,21,82,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,11,57,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,310,2,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,403,7,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,11,59,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,403,7,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,95,185,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009212,3/19/69,95,150,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009174,3/19/69,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,10,14.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,11,58,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,940,136,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,403,7.5,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,403,7.3,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,11,58,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,300,7,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,10,14.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,95,672,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,21,85,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,95,270,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,21,82,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,940,31,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009175,4/8/69,310,4.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009213,4/8/69,310,4.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,310,1,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,95,656,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,940,92,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,403,7.3,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,95,1029,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,940,184,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,11,71,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,11,72,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,403,7.5,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,310,2,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,10,21.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,21,82,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,10,22.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009214,5/19/69,21,81,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009176,5/19/69,70,140,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,310,3.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,310,6.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,300,7,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,300,6,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,11,76,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,21,84,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,403,7.3,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,95,228,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,95,498,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,21,85,"TEMPERATURE, AIR (DEGREES FAHRENHEIT)",DEG F,Air,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,403,6.8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,11,78,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,10,24.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,940,93,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,10,25.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,940,27,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009177,6/19/69,70,450,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009215,6/19/69,70,500,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009216,7/10/69,10,31.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
